iter	Logloss	Accuracy	Precision	Recall	F1
133	0.3587572492	0.8362454287	0.7395038168	0.5925076453	0.6578947368
134	0.3585185393	0.8362454287	0.7395038168	0.5925076453	0.6578947368
135	0.3582576425	0.8364485981	0.7397521449	0.5932721713	0.6584641493
136	0.3580075644	0.8364485981	0.7397521449	0.5932721713	0.6584641493
137	0.357698129	0.8364485981	0.7397521449	0.5932721713	0.6584641493
138	0.3575967743	0.836854937	0.7402473834	0.5948012232	0.6596015261
139	0.3570879023	0.836854937	0.7397910731	0.5955657492	0.6598898772
140	0.356550097	0.8372612759	0.7416587226	0.5948012232	0.6601612219
141	0.3558715636	0.8378707842	0.7433206107	0.5955657492	0.6612903226
142	0.3556087147	0.8380739537	0.7440305635	0.5955657492	0.6615711253
143	0.35540427	0.8382771231	0.7442748092	0.5963302752	0.662139219
144	0.3547922306	0.8380739537	0.7431018078	0.5970948012	0.6621449767
145	0.3545655809	0.8384802926	0.7445185891	0.5970948012	0.6627068307
146	0.3541435549	0.8384802926	0.7440532826	0.5978593272	0.6629927936
147	0.353887486	0.8388866315	0.745471878	0.5978593272	0.663555367
148	0.3534907947	0.8382771231	0.7433460076	0.5978593272	0.6627118644
149	0.3533049902	0.8382771231	0.7433460076	0.5978593272	0.6627118644
150	0.35315781	0.838683462	0.7442965779	0.5986238532	0.663559322
151	0.3528481937	0.838683462	0.7442965779	0.5986238532	0.663559322
152	0.3526378076	0.838683462	0.7438330171	0.5993883792	0.6638441998
153	0.3520922073	0.8396993092	0.7464387464	0.6009174312	0.665819568
154	0.3517202698	0.840511987	0.7483380817	0.6024464832	0.6675137654
155	0.3513102091	0.8401056481	0.7478591817	0.6009174312	0.666384061
156	0.3510398857	0.8407151564	0.75	0.6009174312	0.6672325976
157	0.3506914569	0.8403088176	0.7480988593	0.6016819572	0.6669491525
158	0.3503125413	0.8413246648	0.7502374169	0.6039755352	0.6692079627
159	0.3501107683	0.8417310037	0.7511870845	0.6047400612	0.6700550614
160	0.3498105205	0.8415278342	0.7514285714	0.6032110092	0.6692111959
161	0.349552672	0.8415278342	0.7514285714	0.6032110092	0.6692111959
162	0.3492690506	0.8417310037	0.7516650809	0.6039755352	0.6697753285
163	0.3489706879	0.8419341731	0.7523809524	0.6039755352	0.6700593723
164	0.3486611894	0.8417310037	0.7516650809	0.6039755352	0.6697753285
